Table B.2.,"Major Disturbances and Unusual Occurrences, 2002",,,,,,
,,,,,,,
Date,NERC Region,Time,Area,Type of Disturbance,Loss (megawatts),Number of Customers Affected,Restoration Time
January,,,,,,,
1/30/2002,SPP,6:00 AM,Oklahoma,Ice Storm,500,"1,881,134",2/7/2002 12:00
,,,,,,,
1/29/2002,SPP,Evening,Metropolitan Kansas City Area,Ice Storm,500-600,"270,000",NA
1/30/2002,SPP,4:00 PM,Missouri,Ice Storm,210,"95,000",2/10/2002 21:00
February,,,,,,,
2/27/2002,WSCC,10:48 AM,California,Interruption of Firm Load,300,"255,000",2/27/2002 11:35
March,,,,,,,
3/9/2002,ECAR,12:00 AM,Lower Peninsula of Michigan,Severe Weather,190,"190,000",3/11/2002 12:00
April,,,,,,,
4/8/2002,WSCC,3:00 PM,Arizona,Vandalism/,0,0,9-Apr
,,,,Insulators,,,
July,,,,,,,
7/9/2002,WSCC,12:27 PM,California,Interruption of Firm Power,240,1 PG&E,7/9/2002 19:54
7/19/2002,WSCC,11:51 AM,California,Interruption of Firm Power (Unit Tripped),240,1 PG&E,7/19/2002 16:30
7/20/2002,NPCC,12:40 PM,New York,Fire,278,"63,500",7/20/2002 20:12
August,,,,,,,
8/2/2002,MAIN,12:43 PM,Illinois,Interruption of Firm Power,232,"53,565",8/2/2002 18:36
8/9/2002,SERC,8:23 AM,Florida,Interruption of Firm Power,51,"25,000",8/9/2002 12:13
8/25/2002,WSCC,3:41 AM,California,Interruption of Firm Power,120,1 PG&E,8/25/2002 9:17
8/28/2002,SERC,2:09 PM,Florida,Severe Weather,67.6,"25,000",8/28/2002 15:38
October,,,,,,,
10/3/2002,SPP,3:33 AM,Coastal Areas of Southern Louisiana,Hurricane Lily,NA,"242,910",12-Oct
November,,,,,,,
11/6/2002,WSCC,10:00 PM,Northern and Central California,Winter Storm,270,"939,000",Noon November 10
11/17/2002,NPPC,3:48 PM,"Northport, NY",Cable Tripped,0,0,Unknown
,,,"Norwalk, CT",,,,
11/17/2002,NPCC,6:00 AM,Northwest and North Central Connecticut,Ice Storm,NA,"224,912",11/21/2002 8:00
December,,,,,,,
12/3/2002,SPP,6:30 PM,Arkansas,Ice Storm,NA,"43,000",12/9/2002 22:30
12/11/2002,SERC,1:09 PM,Northern Virginia to Fredericksburg,Winter Storm,63,"130,000",12/13/2002 22:00
,,,Staunton to Harrisonburg,,,,
12/14/2002,WSCC,11:00 AM,Northern and Central California,Winter Storm,180,1.5 million,12/19/2002 16:00
12/19/2002,WSCC,6:00 AM,Northern and Central California,Winter Storm,56,"385,000",12/21/2002 17:00
12/25/2002,MAAC,5:00 PM,Eastern Pennsylvania,Winter Storm,250,"106,000",12/26/2002 5:00
12/25/2002,MAAC,10:00 AM,"Reading, York, Hanover, Hamburg Pennsylvania",Winter Storm,NA,"95,630",12/27/2002 8:30
,,,,,,,
Note: North American Electric Reliability Council region acronyms are defined in the glossary.,,,,,,,
"Source:  Form EIA-417, ""Electric Emergency Incident and Disturbance Report""",,,,,,,
