event_id,year_sheet,event_start_ts,event_end_ts,outage_duration_hours,customers_affected,demand_loss_mw,nerc_region,event_type,alert_criteria,area_affected_raw,event_year,event_month,has_end_ts,has_customers_affected
1,2002,2002-01-30 06:00:00,2002-02-07 12:00:00,198.0,1881134.0,500.0,SPP,Ice Storm,,Oklahoma,2002.0,1.0,True,True
2,2002,2002-01-29 00:00:00,,,270000.0,550.0,SPP,Ice Storm,,Metropolitan Kansas City Area,2002.0,1.0,False,True
3,2002,2002-01-30 16:00:00,2002-02-10 21:00:00,269.0,95000.0,210.0,SPP,Ice Storm,,Missouri,2002.0,1.0,True,True
4,2002,2002-02-27 10:48:00,2002-02-27 11:35:00,0.7833333333333333,255000.0,300.0,WSCC,Interruption of Firm Load,,California,2002.0,2.0,True,True
5,2002,2002-03-09 00:00:00,2002-03-11 12:00:00,60.0,190000.0,190.0,ECAR,Severe Weather,,Lower Peninsula of Michigan,2002.0,3.0,True,True
6,2002,2002-04-08 15:00:00,2002-04-09 00:00:00,9.0,0.0,0.0,WSCC,Vandalism/,,Arizona,2002.0,4.0,True,True
7,2002,2002-07-09 12:27:00,2002-07-09 19:54:00,7.45,1.0,240.0,WSCC,Interruption of Firm Power,,California,2002.0,7.0,True,True
8,2002,2002-07-19 11:51:00,2002-07-19 16:30:00,4.65,1.0,240.0,WSCC,Interruption of Firm Power (Unit Tripped),,California,2002.0,7.0,True,True
9,2002,2002-07-20 12:40:00,2002-07-20 20:12:00,7.533333333333333,63500.0,278.0,NPCC,Fire,,New York,2002.0,7.0,True,True
10,2002,2002-08-02 12:43:00,2002-08-02 18:36:00,5.883333333333334,53565.0,232.0,MAIN,Interruption of Firm Power,,Illinois,2002.0,8.0,True,True
11,2002,2002-08-09 08:23:00,2002-08-09 12:13:00,3.8333333333333335,25000.0,51.0,SERC,Interruption of Firm Power,,Florida,2002.0,8.0,True,True
12,2002,2002-08-25 03:41:00,2002-08-25 09:17:00,5.6,1.0,120.0,WSCC,Interruption of Firm Power,,California,2002.0,8.0,True,True
13,2002,2002-08-28 14:09:00,2002-08-28 15:38:00,1.4833333333333334,25000.0,67.6,SERC,Severe Weather,,Florida,2002.0,8.0,True,True
14,2002,2002-10-03 03:33:00,2002-10-12 00:00:00,212.45,242910.0,,SPP,Hurricane Lily,,Coastal Areas of Southern Louisiana,2002.0,10.0,True,True
15,2002,2002-11-06 22:00:00,,,939000.0,270.0,WSCC,Winter Storm,,Northern and Central California,2002.0,11.0,False,True
16,2002,2002-11-17 15:48:00,,,0.0,0.0,NPCC,Cable Tripped,,"Northport, NY",2002.0,11.0,False,True
17,2002,2002-11-17 06:00:00,2002-11-21 08:00:00,98.0,224912.0,,NPCC,Ice Storm,,Northwest and North Central Connecticut,2002.0,11.0,True,True
18,2002,2002-12-03 18:30:00,2002-12-09 22:30:00,148.0,43000.0,,SPP,Ice Storm,,Arkansas,2002.0,12.0,True,True
19,2002,2002-12-11 13:09:00,2002-12-13 22:00:00,56.85,130000.0,63.0,SERC,Winter Storm,,Northern Virginia to Fredericksburg,2002.0,12.0,True,True
20,2002,2002-12-14 11:00:00,2002-12-19 16:00:00,125.0,1.5,180.0,WSCC,Winter Storm,,Northern and Central California,2002.0,12.0,True,True
21,2002,2002-12-19 06:00:00,2002-12-21 17:00:00,59.0,385000.0,56.0,WSCC,Winter Storm,,Northern and Central California,2002.0,12.0,True,True
22,2002,2002-12-25 17:00:00,2002-12-26 05:00:00,12.0,106000.0,250.0,MAAC,Winter Storm,,Eastern Pennsylvania,2002.0,12.0,True,True
23,2002,2002-12-25 10:00:00,2002-12-27 08:30:00,46.5,95630.0,,MAAC,Winter Storm,,"Reading, York, Hanover, Hamburg Pennsylvania",2002.0,12.0,True,True
24,2003,2003-01-25 14:00:00,2003-01-26 02:00:00,12.0,,,ECAR,Cyber Threat From Internet,,"Cincinnati, Ohio",2003.0,1.0,True,False
25,2003,2003-02-27 11:32:00,2003-03-01 08:00:00,44.46666666666667,340000.0,1000.0,SERC,Winter Ice Storm,,"Piedmont, North Carolina",2003.0,2.0,True,True
26,2003,2003-04-03 19:00:00,2003-04-06 17:00:00,70.0,425000.0,300.0,ECAR,Ice Storm,,Lower Michigan Peninsula,2003.0,4.0,True,True
27,2003,2003-04-04 03:11:00,2003-04-05 14:00:00,34.81666666666667,160000.0,225.0,NPCC,Severe Storm,,"New York,",2003.0,4.0,True,True
28,2003,2003-04-15 11:00:00,2003-04-15 14:06:00,3.1,68530.0,212.0,ERCOT,Relaying Malfunction,,"Cities of Bryan,",2003.0,4.0,True,True
29,2003,2003-04-28 15:41:00,,,0.0,0.0,MAIN,Vandalism,,"County of Waukesha,  Wisconsin,",2003.0,4.0,False,True
30,2003,2003-05-02 17:00:00,,,139000.0,1500.0,SERC,Severe Thunderstorms,,"Piedmont, North and",2003.0,5.0,False,True
31,2003,2003-05-02 20:00:00,2003-05-03 08:00:00,12.0,102842.0,130.0,SERC,Severe Thunderstorms,,"Central Georgia,",2003.0,5.0,True,True
32,2003,2003-05-15 02:52:00,2003-05-15 03:29:00,0.6166666666666667,192000.0,476.0,ERCOT,Interruption of Firm,,North Texas,2003.0,5.0,True,True
33,2003,2003-05-15 14:00:00,2003-06-16 14:00:00,768.0,2.0,240.0,MAIN,Flood,,Upper Michigan Peninsula,2003.0,5.0,True,True
34,2003,2003-06-15 15:12:00,2003-06-16 17:00:00,25.8,0.0,0.0,WECC,Public Appeal,,Idaho,2003.0,6.0,True,True
35,2003,2003-06-30 13:00:00,2003-07-01 00:00:00,11.0,179299.0,,SPP,Tropical Storm Bill,,Coastal areas of,2003.0,6.0,True,True
36,2003,2003-07-01 15:15:00,2003-07-01 15:50:00,0.5833333333333334,47000.0,1000.0,WECC,Breaker Failure,,"Phoenix, Arizona",2003.0,7.0,True,True
37,2003,2003-07-02 13:54:00,2003-07-02 15:59:00,2.0833333333333335,1.0,200.0,WECC,Unit Tripped,,Northern California,2003.0,7.0,True,True
38,2003,2003-07-04 06:00:00,2003-07-04 10:00:00,4.0,52000.0,150.0,MAIN,Severe Thunderstorms,,Southeast Wisconsin,2003.0,7.0,True,True
39,2003,2003-07-04 09:00:00,2003-07-06 16:00:00,55.0,131000.0,82.5,ECAR,Severe Thunderstorms,,Lower Michigan Peninsula,2003.0,7.0,True,True
40,2003,2003-07-04 23:41:00,2003-07-06 21:00:00,45.31666666666667,55142.0,200.0,ECAR,Severe Storms,,"Southwest Ohio, portions of Indiana",2003.0,7.0,True,True
41,2003,2003-07-05 03:00:00,2003-07-05 07:00:00,4.0,130000.0,80.0,MAIN,Severe Storms,,Northern Illinois,2003.0,7.0,True,True
42,2003,2003-07-07 09:00:00,2003-07-07 15:00:00,6.0,72000.0,,MAIN,Severe Thunderstorms,,Northern Illinois,2003.0,7.0,True,True
43,2003,2003-07-08 04:00:00,2003-07-11 16:00:00,84.0,134500.0,11000.0,ECAR,Severe Thunderstorms,,Ohio,2003.0,7.0,True,True
44,2003,2003-07-09 17:14:00,2003-07-09 19:09:00,1.9166666666666667,80000.0,120.0,SERC,Severe Thunderstorms,,Northern Central and Eastern Virginia,2003.0,7.0,True,True
45,2003,2003-07-15 08:24:00,2003-07-21 10:30:00,146.1,108000.0,265.0,ERCOT,Hurricane Claudette,,Texas,2003.0,7.0,True,True
46,2003,2003-07-21 17:15:00,2003-07-24 05:33:00,60.3,185000.0,750.0,MAAC,Severe Storms,,Pennsylvania,2003.0,7.0,True,True
47,2003,2003-07-28 18:55:00,2003-07-28 20:35:00,1.6666666666666667,90000.0,440.0,WECC,Breaker Closed,,Arizona,2003.0,7.0,True,True
48,2003,2003-08-14 00:00:00,,,,18500.0,ECAR,Unknown *,,Geographic areas for MISO Reliability Coordination footprint:  Michigan and Ohio,2003.0,8.0,False,False
49,2003,,2003-08-17 17:00:00,,,7500.0,,,,,,,True,False
50,2003,2003-08-14 16:09:00,2003-08-16 07:00:00,38.85,2100000.0,11000.0,ECAR,Unknown *,,Southeastern Michigan including all of Detroit,2003.0,8.0,True,True
51,2003,2003-08-14 16:09:00,2003-08-16 13:03:00,44.9,101000.0,1007.0,ECAR,Unknown *,,"Southern Lower  Michigan and small areas near Flint, Alma, Saginaw, and Lansing Michigan",2003.0,8.0,True,True
52,2003,2003-08-14 16:10:00,2003-08-16 20:27:00,52.28333333333333,1203000.0,7000.0,ECAR,Unknown *,,"Northeast, Ohio",2003.0,8.0,True,True
53,2003,2003-08-14 16:10:00,2003-08-16 03:45:00,35.583333333333336,,2500.0,NPCC,Unknown *,,Southwestern Connecticut and a small portion of Western Massachusetts and Vermont,2003.0,8.0,True,False
54,2003,,2003-08-17 19:00:00,,,,,,,,,,True,False
55,2003,2003-08-14 16:10:00,2003-08-18 00:03:00,79.88333333333334,,22934.0,NPCC,Unknown *,,New York State,2003.0,8.0,True,False
56,2003,2003-08-14 16:10:00,2003-08-14 23:48:00,7.633333333333334,840137.0,,NPCC,Unknown *,,"New York- Buffalo to Albany; Ontario, Canada to Pennsylvania",2003.0,8.0,True,True
57,2003,2003-08-14 16:10:00,,,,4100.0,MAAC,Unknown *,,"Northern New Jersey Erie, Pennsylvania  area",2003.0,8.0,False,False
58,2003,,2003-08-15 06:00:00,,,,,,,,,,True,False
59,2003,2003-08-14 16:11:00,2003-08-15 21:03:00,28.866666666666667,3125350.0,11202.0,NPCC,Unknown *,,Entire Con Edison System (five boroughs of NYC and Westchester County),2003.0,8.0,True,True
60,2003,2003-08-26 16:00:00,,,93000.0,625.0,MAAC,Severe Thunderstorms,,"Maryland: Anne Arundel County, Baltimore County, Calvert County, Carroll County, Howard County, Montgomery County,  Prince George's and Baltimore City.",2003.0,8.0,False,True
61,2003,2003-08-26 16:22:00,2003-08-31 18:00:00,121.63333333333334,153000.0,1500.0,MAAC,Severe Thunderstorms,,"Washington, D.C.,  Montgomery County,  Prince Georges County, Maryland",2003.0,8.0,True,True
62,2003,2003-09-07 05:19:00,2003-09-07 18:00:00,12.683333333333334,4.0,310.0,MAIN,Transmission  Equipment,,Upper Michigan Peninsula,2003.0,9.0,True,True
63,2003,2003-09-18 08:20:00,2003-09-29 22:42:00,278.3666666666667,1.8,6512.0,SERC,Hurricane Isabel,,"North Eastern North Carolina, Eastern Central , and Northern Virginia",2003.0,9.0,True,True
64,2003,2003-09-18 11:45:00,,,32000.0,1655.0,SERC,Hurricane Isabel,,Eastern North Carolina,2003.0,9.0,False,True
65,2003,2003-09-18 00:00:00,2003-09-26 22:50:00,214.83333333333334,650000.0,2000.0,MAAC,Hurricane Isabel,,"Central Maryland (Baltimore City, Baltimore County, Anne Arundel County, Hartford County, Montgomery County, Calvert County, Prince George's County, Carroll County and Howard County)",2003.0,9.0,True,True
66,2003,2003-09-18 14:00:00,,,237366.0,3085.0,MAAC,Hurricane Isabel,,"Maryland, West Virginia, Virginia and Pennsylvania",2003.0,9.0,False,True
67,2003,2003-09-18 15:32:00,2003-09-19 17:00:00,25.466666666666665,50000.0,600.0,SERC,Hurricane Isabel,,Triangle and Tridad (Greensboro – High Point)  Areas North Carolina - Northern Region,2003.0,9.0,True,True
68,2003,2003-09-18 16:20:00,2003-09-28 18:00:00,241.66666666666666,530000.0,,MAAC,Hurricane Isabel,,"District of Columbia, Montgomery and Prince George's Counties, Maryland",2003.0,9.0,True,True
69,2003,2003-09-18 21:00:00,2003-09-21 17:00:00,68.0,425000.0,1300.0,MAAC,Hurricane Isabel,,"All PPL including: Williamsport, Harrisburg, Lancaster, Scranton and Allentown areas",2003.0,9.0,True,True
70,2003,2003-10-26 01:44:00,,,108000.0,,WECC,Wild Fire,,"San Diego County, California",2003.0,10.0,False,True
71,2003,2003-11-05 15:16:00,2003-11-05 15:54:00,0.6333333333333333,1.0,350.0,MAAC,Tornado,,Maryland/Virginia border,2003.0,11.0,True,True
72,2003,2003-11-12 17:00:00,2003-11-16 18:00:00,97.0,245000.0,82.5,ECAR,Wind Storm,,Lower Michigan Peninsula,2003.0,11.0,True,True
